,Username,Repo_Name,Stars,Repo_Url
0,flutter,flutter,135000,https://github.com/flutter/flutter
1,justjavac,free-programming-books-zh_CN,86800,https://github.com/justjavac/free-programming-books-zh_CN
2,Genymobile,scrcpy,60600,https://github.com/Genymobile/scrcpy
3,Hack-with-Github,Awesome-Hacking,48700,https://github.com/Hack-with-Github/Awesome-Hacking
4,google,material-design-icons,44900,https://github.com/google/material-design-icons
5,wasabeef,awesome-android-ui,42000,https://github.com/wasabeef/awesome-android-ui
6,square,okhttp,41500,https://github.com/square/okhttp
7,android,architecture-samples,40100,https://github.com/android/architecture-samples
8,square,retrofit,39400,https://github.com/square/retrofit
9,Solido,awesome-flutter,39200,https://github.com/Solido/awesome-flutter
10,PhilJay,MPAndroidChart,34600,https://github.com/PhilJay/MPAndroidChart
11,fastlane,fastlane,34000,https://github.com/fastlane/fastlane
12,airbnb,lottie-android,32299,https://github.com/airbnb/lottie-android
13,shadowsocks,shadowsocks-android,32299,https://github.com/shadowsocks/shadowsocks-android
14,bumptech,glide,32200,https://github.com/bumptech/glide
15,Trinea,android-open-project,30800,https://github.com/Trinea/android-open-project
16,Blankj,AndroidUtilCode,30400,https://github.com/Blankj/AndroidUtilCode
17,xitu,gold-miner,30100,https://github.com/xitu/gold-miner
18,bilibili,ijkplayer,29900,https://github.com/bilibili/ijkplayer
19,zxing,zxing,29000,https://github.com/zxing/zxing
20,skylot,jadx,28900,https://github.com/skylot/jadx
21,laurent22,joplin,27900,https://github.com/laurent22/joplin
22,codepath,android_guides,27700,https://github.com/codepath/android_guides
23,square,leakcanary,27200,https://github.com/square/leakcanary
24,alibaba,fastjson,24100,https://github.com/alibaba/fastjson
25,scwang90,SmartRefreshLayout,23300,https://github.com/scwang90/SmartRefreshLayout
26,CymChad,BaseRecyclerViewAdapterHelper,22600,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
27,react-native-elements,react-native-elements,21900,https://github.com/react-native-elements/react-native-elements
28,google,iosched,21100,https://github.com/google/iosched
29,NativeScript,NativeScript,20800,https://github.com/NativeScript/NativeScript
